Study Hours,Sleep Hours,Attendance (%),Grades
3.9,6.3,51,35
3.7,8.7,57,34
3.7,8.1,67,35
3.8,8.4,75,35
7.1,8,71,49
2.8,8.1,45,40
2.2,8.2,51,33
3.9,9.1,43,35
3.7,7.5,51,35
3.3,8,52,36
6.7,5.7,56,47
7.3,8.4,68,49
3.3,8.6,45,50
1.2,5.8,53,33
3.8,10,52,34
3.6,8.1,61,34
8,6.4,60,53
8.1,5.8,64,55
3.6,5.6,50,33
3.4,8.5,43,38
6.9,8.8,52,49
6,9.8,51,60
3.6,8.4,69,34
5,8.3,75,57
6,8.7,82,42
4.2,5.3,50,33
3.5,9.7,51,35
7.7,8.3,59,53
4,9.7,66,34
3.2,6.2,47,35
8.8,6.7,61,59
4,8.2,51,34
7.7,9,59,51
8.2,5.7,76,54
3.9,8.7,63,34
7.7,8.8,83,52
3.6,8.2,56,35
3.4,6.9,46,34
8.8,6.8,69,61
1.8,8.3,47,34
7.2,9.5,53,53
5.9,8.4,78,42
3.2,5.8,43,34
3.6,8.3,74,46
6.2,9.9,47,57
3.6,8.8,53,33
3.6,8.6,54,33
7.8,7.9,60,53
8.7,5.9,72,60
3.6,8.8,59,35
6.3,9.9,54,48
3.8,9.3,67,34
3.1,8.3,49,38
3,9.7,42,34
6.2,7.7,70,44
4,8.9,56,50
3.7,9.5,53,43
5.5,8.2,83,41
1.4,8.3,58,34
6.3,8.5,71,44
6.9,8.8,58,49
3.7,5.1,55,34
6.2,8,64,47
5.6,8.1,65,40
4.9,8.4,76,35
3.7,9.6,52,34
3.6,8.5,51,33
6.5,9.3,57,54
3.9,8.1,69,35
4.9,10,54,38
6.5,9.3,81,46
6.6,9.1,57,62
6.3,10,61,62
7.4,8,46,52
3.2,6.4,43,35
2,6.8,47,34
4.3,9.8,67,33
5.3,8.1,74,37
6.9,7.8,50,46
6.2,8.2,66,44
7.7,8.3,64,63
5.3,8.8,51,39
1.5,8.3,43,34
3.6,9.5,68,33
3.9,7.1,84,47
3.5,10,47,34
2.5,7.1,42,33
3.8,5.9,58,34
2.5,9.7,52,34
3.6,6.6,55,35
3,9.7,46,38
2.6,8.6,59,33
3.2,8.2,47,35
1.7,9.4,52,34
3.9,9.8,71,34
6.1,7.3,57,44
5.5,7.5,61,38
3.3,9,56,35
9.3,6.8,59,62
4.5,9.1,62,32
1.5,6.6,44,34
3.6,6.8,65,33
3.4,9.1,61,34
5.3,8.7,47,50
4.1,7.6,75,34
3.6,9.3,72,33
7.3,6.2,79,50
10,6.2,48,66
3.2,8.7,55,36
7.4,7.7,76,51
6.3,7.8,58,45
8.4,5.4,86,57
9.7,6.1,89,67
6.5,8.8,40,59
3.2,8.2,54,34
1.3,9.5,42,33
3.5,9,57,33
3.6,7.4,71,34
5,5.9,61,36
4.2,5.9,56,34
1.8,9.1,41,34
3.6,8.5,58,34
7.6,8.6,46,59
1.4,9.3,42,34
4.2,8.9,62,36
6.9,8.1,57,47
7.2,6.4,48,51
3.6,7.9,52,35
0.9,8.6,46,33
6.6,5.1,59,47
6.4,8.2,72,45
4.1,7.7,58,36
3.6,9.6,67,33
3.9,9.1,60,33
5.8,10,68,64
2,9.2,54,34
1,8.2,48,34
4.4,7.5,69,34
3.4,6.2,49,34
5.2,7.4,66,38
6,8.8,49,46
1.2,7.8,57,35
2,8.8,58,35
6,8.4,58,51
3.7,9.8,66,34
3.7,9.3,66,33
3.9,8.8,58,33
3.8,9.8,47,47
4.8,9.9,63,35
3.7,6.1,66,33
3.2,5.2,47,43
3.6,9.5,63,39
3.7,9,57,35
4.9,9.8,70,53
3.8,9.5,61,34
3.9,9,55,41
9.2,5.2,45,70
4.8,6.3,58,37
3.7,7.2,67,34
6.1,8.3,63,48
3.2,8,55,35
3.5,9.5,57,33
7.3,8.6,65,50
7.1,9.2,68,66
4.2,8.2,83,34
2.4,7.1,41,32
2,9.5,48,40
4,10,79,33
4.1,6.2,57,34
2.1,9,48,33
1,8.5,52,32
6.9,9,70,48
6.6,9.7,61,51
4.5,8.6,65,34
3.5,9.8,69,40
3.6,5.3,63,34
6.4,9.5,56,47
4.3,6.8,66,37
3.2,8.5,49,35
3.6,9.7,52,33
3.8,8,58,41
2.1,8.7,49,34
5.1,9.4,46,36
5.6,8.5,75,40
9.7,7.1,90,64
3.6,8.8,66,52
1.1,9.5,47,37
4.5,9,63,35
0.8,7.4,54,34
3.7,5.3,62,35
5.1,6.3,56,38
1.8,9.9,46,33
3.8,7.9,73,35
3.6,8.6,46,33
4,9.6,61,33
4.4,9.1,64,36
3.7,9.3,57,34
3.8,5.4,51,36
5.6,5.6,77,39
3.1,9.2,64,35
3.4,6.4,41,34
5.6,5.2,52,40
3.7,9.7,75,33
3.7,8,46,53
4.8,9.2,57,35
3.6,7.7,53,34
3.3,7.8,40,33
3.3,9.7,40,34
5.7,7.1,56,41
3.8,6.7,58,34
3.6,9.5,68,44
3.7,8.1,68,34
6.6,9,66,48
3.6,8.2,66,33
3.4,6.6,54,35
4,8.4,49,35
6.3,9.7,78,44
6.1,8.5,57,59
3.6,9.1,61,35
3.5,9.6,53,34
5.8,9,53,61
3,8.2,43,35
3.8,9.4,47,33
5.8,8.5,51,42
8.1,8.2,70,54
3.3,9.3,55,34
2.1,5.1,43,35
5.2,8.5,48,47
3.9,8.7,42,34
6.2,6.9,71,55
4.2,8.5,53,35
3.5,9.2,72,32
2.6,6.5,49,33
3.7,6.9,66,34
3.5,5.9,66,32
5.7,9.8,54,40
3.6,5.7,79,34
6.1,7,60,48
4,8.2,63,33
4.5,9.4,51,47
8.2,6.1,90,54
8,5.5,84,59
3.2,9.6,52,35
4.7,9.9,57,34
4.8,9.7,76,41
5.5,9,80,40
3.4,7.5,48,33
3.8,8.5,68,34
5.1,8.7,79,37
3.9,8.4,69,33
7.1,6.2,59,48
3.6,9.1,77,33
4,5.8,65,34
3.4,10,43,32
3.9,9.1,54,41
3.1,6.8,41,34
6.9,9.1,49,65
3.5,9.9,55,35
0.8,8,41,34
7.7,5.3,63,52
8.3,6.1,68,56
7.7,8.8,63,53
3.7,9.3,62,35
7,8.4,59,48
7.8,9,47,61
4.1,10,69,35
6.5,8.5,67,46
3.5,5.4,67,34
3.3,9.1,44,33
4.5,7.6,47,34
4.4,5.9,51,34
1.3,7.1,51,35
4,6.5,63,44
9.7,5,70,63
3.4,5.1,51,41
1.4,8.8,50,33
5.6,9.8,47,39
8.3,6.2,83,56
3.7,8.5,51,35
3.5,8.3,56,34
3.4,6.7,60,35
4,7.1,70,38
4.4,7.6,43,34
9.1,5,65,62
3.6,8.2,74,34
5.1,9.4,62,42
2.9,5.4,42,33
6.6,9.3,81,46
3.9,9.9,62,35
6.2,8.5,53,42
4.1,6.6,57,34
3.6,7.8,49,35
1.9,9.5,53,32
5.4,8.9,71,39
3.4,5.5,52,35
6,8.4,56,42
3.8,7,51,33
3.7,8.1,51,54
3.3,5.9,42,34
4.1,9,71,35
3.7,7.2,58,35
8.2,8.5,83,58
3.5,9.9,48,39
3.3,5.5,45,35
3.3,8.6,50,33
3.4,9.8,44,34
3.7,9,49,34
3,8,45,35
3.7,6.8,61,34
2.9,7.7,58,33
5.5,5.4,51,39
3,5.7,58,34
3.2,9.1,40,33
7.1,9.6,42,50
3.8,9.7,70,35
3.6,8.1,58,50
3.6,8.4,51,33
2,9.4,45,34
3.5,5.8,68,36
3.6,8.7,68,35
3.8,5.5,51,33
3.8,7,49,34
9,7.8,87,67
4.3,9,63,33
3.9,5.8,53,33
1.6,9.5,40,34
7,8.5,75,56
6.6,8.8,65,47
7.3,8.2,59,50
2.4,7.6,47,34
3.9,9.2,68,34
3.6,7.9,83,35
3.9,5.6,66,44
3.8,7.4,67,37
3.4,8.8,52,36
3.2,9.6,40,35
3.6,7.4,68,33
3.8,9.8,67,33
2.9,6.3,45,34
4.2,7.1,57,55
5.5,9.8,54,47
4.6,8.5,60,34
5.1,9.6,48,37
4.1,9.3,57,33
4.1,6.6,51,34
7.9,8.4,58,72
3.6,8.8,64,35
4.1,6.4,69,34
3.9,6.6,55,34
2.9,8.3,53,42
6.9,6.5,69,50
3.5,7.9,65,34
8.9,7.2,83,61
2.8,6.8,43,34
3.7,8.6,72,34
3.5,9.4,72,33
3.3,8.8,53,33
3.1,8.7,40,48
3.7,8.9,66,34
3.6,5.7,73,34
3.8,8.6,57,35
4.6,9.2,60,35
3.8,6.3,69,34
2.6,8,49,36
3.5,9.3,45,36
3.5,9.3,62,34
5.7,7.8,47,44
3.2,9.3,43,34
3.8,8.5,74,35
2.9,9.3,40,45
4.2,8.8,62,50
3.8,8.4,72,52
1.9,8.9,45,34
5.4,7.9,66,40
3.5,5.5,55,35
3.6,9.6,52,50
6.4,8.3,61,49
0.8,9.4,56,33
3.4,9,49,34
4,9.2,55,46
5.5,8.9,47,50
3.7,8.2,43,35
3.7,6.9,73,34
3.9,9.7,50,35
7.7,6.6,57,52
5.7,9.2,73,42
4,9.3,44,34
3.2,6.9,55,33
3.9,8.9,49,54
3.4,9.2,44,35
3.5,9.4,41,35
8,7.9,76,54
5.6,6.2,46,40
4,9.4,62,35
4.3,9,48,33
3.5,8.8,42,38
6.9,5.4,58,46
4.1,8.5,67,35
3.9,9.7,62,36
5.1,8.9,57,38
4.5,9.1,50,33
3.5,8.3,43,32
3,6.7,52,33
3.4,9.6,42,40
3.8,9,47,35
5.1,8.3,53,45
1.5,9.7,52,35
9.7,6.8,81,76
3.8,8.3,41,34
5.7,8,69,41
3,9.7,44,33
4.2,5.9,73,34
3.1,8,59,34
2.7,9.1,43,34
2,9.2,45,34
6,9.3,54,47
6.7,6.9,75,45
3.5,8.6,62,36
7,9.1,61,53
3.2,6.3,50,35
3.2,5.4,40,34
3.9,5,50,50
3.5,7.2,55,33
5.3,9.5,54,54
1.4,6.4,46,33
3.1,6.4,58,44
3,5.7,62,34
3.7,5.9,58,35
4.8,8.5,52,35
5.8,10,56,40
2.8,8.5,51,34
3.6,9.5,53,38
7,8.6,75,48
3.9,9.5,58,35
5.2,6,55,36
5.9,8.8,66,42
3.6,6.3,59,33
3.1,9.4,46,36
4.9,10,53,35
1.2,8.7,60,35
4,7.7,40,34
3.6,8.6,55,33
3.9,9.7,61,35
2.8,9.9,58,35
3.6,9.5,72,35
9.9,6.6,57,91
6.3,8.4,81,49
1.4,9.9,42,34
6.4,6.5,51,48
2.5,7.7,42,35
8.1,8.2,92,53
3.9,8.4,72,34
9.5,6,74,63
5.4,7.2,68,40
2.3,7.2,62,34
5.1,8.9,56,37
3.7,6.6,51,34
3.2,9.7,44,48
6.6,5.2,53,45
3.8,8,65,34
6.2,7.5,56,43
7.9,5.7,79,58
5.3,6.2,56,37
3,9.1,52,34
3.2,9,46,40
3.8,10,69,33
2.6,9.9,52,33
3.8,6.1,53,36
3.7,6,55,34
4.7,9.5,72,40
3.5,9.7,63,34
6.9,5.5,62,55
3.3,9.8,50,34
4.4,9.5,66,34
7.5,8.3,71,52
4.3,9.9,46,35
7.6,5.8,64,50
3.9,8.2,61,35
3.6,9.8,45,33
3.8,8.3,77,34
3.9,7,65,35
3,8.9,54,33
6.1,8.1,69,46
4.2,8.2,60,40
3.6,6.2,47,33
3.2,9.5,56,34
3.2,8.2,45,35
8.8,5.4,98,58
3.3,9.7,50,36
6.1,8.1,42,44
5,8.9,57,53
6.1,6.4,83,43
3.6,8.8,64,37
3.8,8.4,64,34
3.4,7.8,44,38
4,9.8,64,33
4,8.1,58,42
4.7,8.6,73,36
3.9,9.8,60,38
5.3,5.9,64,50
3.6,9.5,48,35
3.4,9.5,45,34
3.2,6.6,45,34
3.1,8.9,46,34
1.2,9.7,45,33
4.2,9.7,61,34
5.4,8.4,67,47
3.8,8.2,61,34
3.8,7.4,50,42
3.8,9,72,36
6.9,8.6,45,47
2.2,9.1,50,35
3.9,9.9,66,34
3.7,9.4,66,35
3,7.1,42,34
3.7,6,64,35
4.6,9.1,55,50
5.6,6.4,78,40
1.5,7.9,44,34
9.6,6.2,83,63
3.3,9.7,60,40
3,9.9,49,33
7.5,5.9,69,67
2.8,8.7,50,35
7.1,5.9,56,48
3.6,8.7,72,34
4.8,8.1,59,35
3.8,9.8,71,46
7.7,5.1,55,52
8.3,5.9,79,58
2.4,7.8,45,34
4.2,9.2,65,51
3.9,8,69,44
3.8,6.8,62,33
7.6,8.5,57,51
3.6,8.3,60,33
3.6,8.6,62,34
7,8.2,59,60
1.5,7.3,40,34
5.9,8.1,45,43
3.7,9.8,67,35
3.2,8.8,42,34
3.7,6.5,70,33
6.1,8.7,60,42
4,7.6,43,35
6.3,9.6,67,44
7.3,8,60,49
3.7,7.9,65,34
3.3,5.8,41,36
5.3,6,54,39
4.2,9.3,53,35
9.3,5.3,72,61
7.3,8.8,67,51
3.8,8.9,53,41
5.2,5,51,37
7.3,6.7,70,49
7.4,9.4,41,51
4.1,8.4,52,37
3.5,9.2,42,32
4.1,8.7,72,33
3.3,9.8,48,34
3.9,6.5,74,35
3.7,8.1,65,34
7.5,9.4,64,51
3.5,6.8,56,50
5.4,9.1,52,55
4.4,5.9,66,36
8.2,5.2,90,56
3.7,6.9,65,33
7.2,9.7,63,57
3.6,5.9,60,32
3,9.1,42,35
3.8,9.7,74,33
3.7,8.9,65,34
5.9,9.3,62,44
1.4,7.1,47,34
5.4,7.4,63,39
3.4,5.7,53,34
8.7,5.2,81,60
8.1,6.2,46,55
3.6,8.7,67,34
4.4,5.3,54,34
3,9.8,44,34
3.8,7.8,61,35
8.8,8.2,80,59
3.6,8.1,54,35
8.2,5.8,73,56
6.2,9.6,58,43
6.2,6.8,69,42
0.8,5.1,55,34
3.6,8.7,69,34
1.2,8.3,45,34
3.6,8.6,63,33
3.3,9,49,33
3.5,6.4,61,32
3.5,5.8,70,35
6.4,9,66,43
4,9.6,56,39
3.8,8.4,69,33
4.3,8,61,55
3.8,8.7,55,50
3.4,7.8,42,33
3.5,9.5,50,34
7.2,9.7,69,53
3.9,9,64,41
1.4,7.9,46,36
4.3,7.6,73,36
6.7,10,49,46
4,7.1,73,34
6.7,8.3,55,47
4.8,6.5,42,52
3.8,8,66,34
3.2,9.7,46,35
3.4,6.3,47,35
3.6,8.3,51,36
9.6,7,85,64
4.4,5.7,58,34
7.2,7,71,50
3.3,8.7,45,34
3.5,5.1,48,34
4.4,8.4,73,51
5.4,7.7,41,60
3.4,9.6,71,33
3.5,9,59,34
6.9,9,70,48
3.9,5.7,48,51
6.2,9.6,70,45
1.7,8.5,59,34
3.6,9.7,59,35
6.4,8.5,60,51
6.6,9.4,68,47
6.9,5.6,60,48
2.9,5.3,45,33
3.9,9,66,34
3.7,8.4,61,35
3.7,6.8,84,34
3.5,8,59,35
6.3,7.3,71,44
8.8,6,70,58
7.5,8.5,57,53
3.8,9.4,61,34
6.2,9,47,50
7.2,9.2,60,53
7.1,5.3,77,49
4.6,8.4,61,34
6.3,6.5,68,43
4.8,8.2,79,36
4.5,8.5,67,35
8.3,8.3,65,57
3.3,8.8,45,35
3.7,9.1,63,34
4,9.1,59,36
3.5,9.7,43,35
3.1,7.9,46,33
7.7,6,59,52
5,9.4,60,37
3.1,8.4,41,34
3.5,8.1,58,33
7.3,8,60,49
1,8.6,67,35
6.3,9.4,63,45
3.6,7,66,36
6.6,8.7,64,45
3.9,6.9,73,34
2.7,9.2,51,35
3.7,9,50,42
0.9,5.3,44,34
3.2,9.2,45,34
5.1,9.4,88,36
7.5,7,43,50
6.3,7.3,60,53
3.7,5.2,71,34
1.4,8.8,50,35
4,8.7,69,34
3.7,9.6,57,33
8.3,7.2,98,59
3.9,9.5,62,46
3.6,8.2,62,38
3.6,9.5,51,34
7.5,9.4,72,52
7.7,9.2,73,54
5.8,8.2,51,41
4.2,9.6,59,44
4,8.3,60,34
6,9,61,44
5.9,6.2,69,41
4.1,8.5,52,52
6.9,6.2,55,48
8,7.2,47,54
5,9.3,55,37
6.5,9.5,57,45
3.2,8.2,56,34
4.6,9.4,71,34
4.8,6.4,68,35
6.8,9.7,69,53
3.9,9.1,53,33
8.3,6.6,60,56
4.8,8.6,67,39
2.9,8.8,41,34
3.5,9.3,73,34
5.3,8.4,49,41
3,9.6,45,34
5.3,5.1,48,46
1.8,8.9,47,34
3.9,8.6,58,34
3.4,6.4,46,46
6.7,8.8,50,46
2.3,8.5,46,34
3.3,9.5,57,33
2.5,7.5,52,34
3.8,9.6,47,34
8.3,6.1,57,56
7.1,7.5,60,73
3.6,9.4,43,34
3.6,6.1,62,34
5.8,9.7,60,40
4.1,7.9,55,34
3.4,8.8,42,34
3.8,7.5,70,34
9.2,7.5,99,67
3.8,7.4,50,48
3.8,5.8,58,49
5.7,7.8,48,42
9.2,5.7,72,62
1.9,9.8,59,34
6,8.8,76,50
3.5,5.6,60,34
3.1,7.8,46,34
3.6,5.7,55,33
7,9.7,62,47
8.4,8.4,93,59
8.6,6.2,93,58
7.6,8.9,68,77
3.6,6.7,56,33
6.7,9.5,55,56
7,8.3,65,55
3.1,8.6,51,35
7.2,7.4,76,61
3.1,8.5,43,34
0.9,8.5,50,35
3.6,10,57,38
5.6,10,58,41
1.6,8.2,40,34
0.9,8.5,41,35
3.1,5.5,47,33
5.6,4.9,52,38
3.6,8.8,54,34
3.2,5.3,52,34
3,9,42,33
4.4,6.6,63,34
3,9,52,32
6.5,9.4,67,58
3.6,8.8,47,34
4.7,9.2,75,36
4.9,9.8,46,40
5.9,5.7,69,40
7.3,7.6,45,55
7.3,6.5,66,51
2.3,5.3,59,33
3.6,8.3,58,34
3.6,9.1,57,34
8.8,5.9,92,61
6.8,9.1,57,45
5.5,9.8,78,39
1.7,9.5,42,33
3.7,6.3,57,34
4,6.5,51,36
3.6,8,56,33
5.6,6.1,61,39
3.5,8.4,46,34
0.8,8,46,34
3.8,8.9,59,32
5.3,8.6,65,38
5.9,6.9,63,41
6.5,7.4,57,45
3.7,8.7,44,32
7.4,9.3,53,57
3.4,5,40,34
8.3,7,87,56
3.8,9.8,78,34
3.8,8.5,55,42
5.1,8.2,68,37
3.5,8.9,43,34
4.9,7.7,66,37
3.8,8,63,41
3.8,8.6,62,34
3.8,10,75,34
1.3,9.6,46,33
3.9,8.3,59,35
4.5,8.2,47,33
5.7,8.9,67,62
9.5,5.7,58,64
3,10,40,49
3.7,5.8,57,34
3.1,7.4,49,34
4.2,8.5,49,34
3.7,9.6,81,33
2.7,7.8,46,34
4,9.6,52,34
4.2,9,49,33
3.4,9,47,36
4.7,5.2,41,35
3.6,9.9,59,33
6.8,7.4,78,47
7.5,6.5,49,50
0.8,6.9,41,33
2.8,5.4,62,44
7,9.8,66,50
5.1,8.2,61,47
0.9,8.2,45,32
3.7,8.9,56,49
3.7,9.7,73,34
8.1,8.8,72,55
3.7,8.4,50,34
8.1,8.2,74,80
3.8,6.2,57,33
3.6,8.3,72,47
5.6,9.7,67,45
2.2,8.6,43,33
6.9,7.9,60,51
6.6,8.4,49,52
3.4,9.9,41,46
2.6,8.9,48,33
8.9,6.8,78,63
7.7,6.3,55,53
4.1,8,65,35
7.6,6.3,59,53
3.4,8.1,57,44
3.7,9.1,72,34
3.8,9.7,70,34
6.1,7,68,43
6.7,9.4,47,57
2.2,8.9,47,34
5,7.6,64,40
7.6,6.3,66,52
3.2,8.9,45,35
3.1,9,45,35
3.8,9.5,87,33
2.8,6.7,49,33
4.8,5.4,55,35
5.4,7.9,69,39
2.7,5.9,44,40
1.3,9.3,57,35
4.2,9.7,55,35
4,6,62,34
6.9,9.4,69,47
8.1,8.5,84,55
3.3,8.9,53,35
7.3,7.6,53,50
9.3,7.4,86,63
3.6,6.8,59,35
3.8,7.4,65,33
2.8,9.2,40,35
3.6,9.1,57,35
6.8,8.2,56,48
3.8,5.5,69,35
7.6,5.6,62,51
7.7,7.7,83,70
2.4,8.8,42,34
7.1,8,87,50
3.3,9,44,34
4.9,5.8,70,36
1.2,9.9,46,34
3.3,9.2,46,35
1.1,8.2,45,34
3.9,6.5,49,34
3,8.2,44,33
3.5,9.9,47,34
6.9,7.1,53,61
3.5,9.6,44,33
3.9,5.1,63,34
3.9,9,65,45
3.9,7.6,63,34
4,6.4,54,33
8.4,8.4,98,56
3.9,9.3,71,34
6,6.3,45,42
3.2,8.5,50,36
3.9,7.9,72,34
3.8,8.7,51,35
7.8,8.9,63,67
8.6,8.2,88,59
3.1,8.2,50,39
3.2,8.9,40,48
3.2,6.3,41,34
3.4,9.6,49,34
7.9,9,64,54
2.9,5.4,42,46
1.1,9.5,42,34
3.8,8.4,63,34
6.5,9.4,50,46
3.9,6.9,67,53
2.9,8.8,47,33
6.3,6.7,45,59
3.6,5.5,60,33
6.6,8.7,78,45
6.2,8.4,66,67
6.1,6.6,53,44
7.8,6.1,55,53
4.7,8.4,52,35
3.4,9.4,41,51
6.4,6.2,61,44
9.3,5.5,83,63
3.6,8.2,71,33
2.8,8.3,45,34
3.7,9.3,50,40
7.5,6.4,68,52
5.1,9,60,36
6.9,8.9,58,49
7,8.5,75,51
4.2,9.3,49,34
3.8,9.4,54,37
5.3,9.2,75,37
7,8.8,58,49
3.8,6,56,35
6.8,6.2,59,56
3.2,7.4,46,34
2.3,8.8,43,35
3.8,9.8,86,34
6.3,8.7,65,45
3.5,6.9,54,34
5.1,9.3,56,54
7.1,8.1,45,51
8.6,7.7,81,73
2.3,8.7,48,35
8,8.1,64,54
6.5,9.7,75,45
7.3,7.7,46,50
5.6,5.1,64,38
5.3,9.3,56,45
4.6,9,58,53
2.2,6.6,52,34
3.8,8.3,53,35
3.4,8.7,48,33
3.9,7.5,75,34
3.6,7,55,34
3.5,8.6,67,34
4.1,8.7,58,38
1.4,9.7,49,35
4.6,9.1,44,58
3.6,6.9,51,34
3.9,6.6,55,34
4,9.3,58,34
6.7,9.3,67,49
8.8,5.4,64,63
7.5,8.4,51,52
4,8.3,54,34
3,5.5,50,34
6.7,10,55,48
4.9,8.6,51,39
3.9,9.7,47,37
1.4,10,55,35
9.8,5.1,83,65
3.8,5.6,61,35
3.8,9.2,43,32
3.8,9.1,64,34
1.5,6.3,52,35
4.4,6.3,71,33
3.1,9.6,47,35
3.2,6.8,43,36
5.1,7.5,67,41
2.3,6.6,49,42
3.1,9.2,49,39
4,8,45,37
3.6,9,68,35
4.9,8.4,68,53
8.1,8.2,93,61
3.8,6.3,68,34
3,9.8,40,49
3.2,9.5,57,34
4,6.6,59,33
3.7,6.9,51,33
2.8,8.3,41,35
3.8,5.2,68,34
3.5,9.9,58,34
8.7,5.9,86,78
2.2,8.1,45,35
5.2,8.6,60,37
3.5,9.6,59,32
6,9.4,70,67
2.1,8.8,48,33
6,8.3,56,42
5.4,7.4,62,44
3.5,7.2,72,50
5.3,7.7,57,63
5,9.1,56,36
3.2,9.5,47,34
3.8,8.2,57,34
1.3,8.2,54,34
5.1,7.5,62,41
6,9.6,64,42
3.7,5.2,60,35
4,6.8,53,34
3.4,9.2,46,35
8.8,5.8,65,60
3.8,5.2,48,33
5.3,8.7,78,37
5.3,9.4,77,37
3.6,9.2,62,34
4.1,5.1,75,34
8.8,5.5,89,57
4.7,7.7,54,34
3.2,9.3,45,35
5,8.9,57,38
7.8,8.5,40,53
2,7.7,49,34
2.7,5.5,51,34
2.3,9.2,44,35
3.5,9.4,68,33
5.4,8.2,68,38
6.7,9.9,76,47
3.5,5.2,58,32
6.8,6.4,65,49
3.5,8.3,48,34
3.3,9.3,46,34
3.3,9.4,46,33
3.2,8.7,41,41
2.5,8.6,55,33
3.9,6,69,34
3.5,8.3,54,33
4,8.7,54,33
9.8,6.2,62,65
6,8.6,66,42
4.2,9.6,71,33
3.8,8.8,73,35
5.9,6.6,60,40
6.9,9.6,57,48
3.2,8.9,44,35
3.9,9.4,63,33
6.7,9.4,61,58
7.7,7.5,49,51
3.3,7.9,43,33
5,8.7,58,36
4.1,10,41,33
3.7,8.2,68,34
3,7.9,44,38
3.3,8.1,51,34
5.1,8.9,77,42
5,8.3,73,37
3.9,5.6,49,34
3.6,9,63,47
4.8,6.1,57,34
6.2,6.7,64,48
3.7,5.3,70,34
3.3,5.6,57,35
4,8.2,57,35
3,9.5,44,33
2.9,9.4,59,34
3.9,8.6,55,34
3.5,8.4,47,35
6.4,7.3,67,70
5.4,8.1,60,39
5.5,9.2,51,41
6,6.7,56,41
4.8,6.4,71,36
3.8,8.2,59,34
5,6.8,67,36
2.9,8.9,54,34
1.2,9.2,51,35
6.3,7.8,56,59
3.4,9.1,59,40
3.2,8.6,51,35
4.1,9.8,45,35
3.7,5.3,59,34
4.4,8.1,64,34
3.7,9.9,52,35
7.9,8,61,69
3.7,8.2,52,33
6,8.7,56,42
4.4,6.5,60,47
4,8.2,42,34
5.7,9.6,63,42
3.4,9.5,49,33
4.1,8.9,67,41
3.9,9.4,72,34
7.1,9.5,59,51
4,8,63,34
7.6,7.7,52,53
3.4,9.6,55,51
3.7,6.8,78,34
7.3,6.3,63,49
6.7,7.2,67,48
3.9,5.3,63,35
3.6,10,66,33
3.6,8.4,61,34
1.6,10,43,34
4.6,9,61,34
3.7,9.9,63,34
3.6,5.1,61,39
4.1,9.8,47,34
3.9,5.7,71,52
1.7,8.8,46,34
6.4,7.8,45,58
